latitude,longitude,brightness
5.5877,104.47563,331.22
5.86583,101.85512,337.42
6.00206,100.51067,326.67
6.05751,100.47849,327.91
6.15528,100.29899,331.4
7.11735,103.66807,344.88
8.51094,98.72141,330.01
8.58632,98.68129,341.85
8.58934,98.67959,347.51
10.15851,104.95902,333.77
10.17146,104.85868,341.62
10.1744,104.85918,343.59
10.17499,104.8581,333.01
10.24821,104.777,330.85
10.39755,104.72005,332.06
10.41748,104.86494,331.41
10.42234,104.91715,343.26
10.42585,104.91656,333.79
10.44007,104.71307,335.53
10.50943,103.78047,335.21
10.59979,103.80849,333.55
10.7201,103.57398,333.1
10.7227,103.57203,330.64
10.78363,103.86156,332.46
10.81682,104.96688,340.83
10.89827,104.14832,341.16
10.93618,104.38281,346.72
10.93976,104.38223,338.63
10.96157,103.87321,334.26
11.0048,103.33726,338.35
11.00525,103.33568,334.87
11.01615,103.22019,347.67
11.01997,103.21962,341.82
11.03747,103.36985,342.12
11.05794,104.27533,335.54
11.06785,104.1787,332.39
11.07413,104.39542,334.84
11.07533,104.39394,335.64
11.07732,104.28098,357.28
11.08695,103.75574,339.25
10.63581,99.08148,333.36
10.84384,98.66093,345.69
10.8453,98.66199,346.17
11.08954,103.40373,349.32
11.12184,103.43589,335.16
11.19381,103.35446,339.05
11.20959,103.33278,339.64
11.21035,103.33741,338.13
11.21865,103.34086,335.5
11.21867,103.34226,333.57
11.23942,103.63119,343.63
11.25045,104.1069,335.3
11.25406,104.10629,337.03
11.25464,103.81586,335.17
11.2583,103.81522,338.41
11.26789,103.73548,340.06
11.28638,103.10116,344.95
11.28785,103.10402,333.39
11.34164,104.48224,338.15
11.35128,103.2305,347.21
11.37152,103.18861,331.44
11.37533,104.09566,335.58
11.37751,98.86846,367
11.37918,103.70864,331.16
11.37976,103.16784,337.74
11.38656,103.16181,333.69
11.43914,104.25973,338.97
11.4434,104.33099,343.76
11.46338,99.11559,331.33
11.57081,103.01266,333.78
11.57371,103.10052,335.29
11.57399,104.81969,367
11.57448,103.10512,331.51
11.58659,103.08405,332.51
11.59426,104.81233,367
11.59444,103.1548,333.37
11.59774,104.81175,367
11.59921,103.04212,337.44
11.61316,104.08704,341.82
11.62162,103.08335,331.96
11.62241,103.08817,335.05
11.62441,103.08465,340.9
11.62523,103.08942,332.22
11.65358,103.1186,336.34
11.66503,98.52689,367
11.66558,98.52993,353.32
11.68425,102.95102,347.33
11.68872,103.77204,337.2
11.6939,103.4945,332.27
11.69448,103.45263,330.1
11.69463,103.01369,337.46
11.70328,103.43681,334.23
11.71911,103.04345,330.22
11.73176,104.41488,337.31
11.73752,103.45892,334.7
11.74122,103.45821,337.15
11.75942,99.51039,333.66
11.7597,99.51153,334.5
11.76039,99.51563,331.12
11.76043,103.84646,345.46
11.76063,99.51679,333.08
11.76136,99.52085,334.48
11.76267,104.0885,340.21
11.77466,103.93195,341.67
11.7748,103.88798,339.18
11.78128,103.9046,338.03
11.7919,104.29199,336.21
11.80556,99.17892,331.01
11.82156,104.03627,337.55
11.82566,103.97091,336.16
11.84375,104.56933,338.23
11.84376,103.89973,338.88
11.88514,99.50047,349.11
11.89135,104.61863,337.55
11.94957,104.0201,333.64
11.989,103.96317,334.69
12.00605,104.30019,336.86
12.00963,104.29984,332.11
12.01326,103.88559,333.78
12.01507,104.35597,339.22
12.01876,102.78845,332.39
12.03444,103.85609,341.48
12.03739,103.85136,330.61
12.03808,103.85561,348.47
12.06733,102.77185,332.63
12.08498,102.78293,336.28
12.08638,103.1627,336.71
12.08813,102.77814,354.29
12.08895,104.05468,332.18
12.09116,102.7726,337.01
12.09198,102.77754,355.61
12.09466,103.16602,337.9
12.09702,103.75819,334.66
12.10185,103.78739,333.98
12.11422,102.79266,332.77
12.12128,102.79897,331.97
12.13027,103.77869,333.8
12.13322,103.77393,330.32
12.1339,103.77804,346.47
12.13797,103.80291,335.89
12.14135,103.7322,343.34
12.15241,103.91395,336.02
12.15813,104.88418,332.58
12.16439,104.12239,341.37
12.16478,103.89883,346.38
12.16736,103.84617,342.24
12.17547,103.82739,340.26
12.17569,103.82806,341.06
12.17949,103.76161,332.96
12.18082,103.81422,337.37
12.18654,103.96449,339.73
12.19638,104.38496,335.58
12.20317,103.00446,337.82
12.20409,104.00464,337.66
12.20526,104.005,340.37
12.20663,103.85751,338.22
12.20724,103.88351,337.24
12.20779,103.14717,344.74
12.20796,104.30004,345.33
12.21513,103.52303,346.36
12.21528,103.00709,342.09
12.21635,104.30693,351.48
12.21728,104.03297,341.08
12.22185,102.95307,349.33
12.2255,103.8368,341.52
12.22641,102.95706,333.31
12.22841,103.83192,337.4
12.22884,102.99509,337.3
12.22923,103.81426,354.38
12.22951,102.97574,333.01
12.23185,102.98978,342.02
12.23252,102.9704,342.09
12.23263,102.99447,335.48
12.23301,102.79701,333.93
12.2334,102.99916,338.27
12.23351,103.02323,339.59
12.23719,102.99854,339.76
12.23727,103.02245,341.16
12.23736,104.22018,341.22
12.23786,102.97909,334.67
12.24182,103.02648,337.82
12.24288,103.82943,346.95
12.2444,103.81603,348.2
12.24579,103.82455,333.76
12.24649,103.8288,338.5
12.25309,102.98283,348.29
12.25377,102.9811,347.75
12.25543,98.10678,336.71
12.26652,103.5201,336.28
12.26724,103.52436,338.83
12.27102,103.04224,334.06
12.27445,103.65757,338.29
12.27458,103.52309,342.23
12.27683,103.55926,330.32
12.28119,103.51743,341.58
12.28343,103.50815,336.92
12.28782,103.51185,346.59
12.2999,102.93715,357.2
12.30375,102.93682,352.06
12.30417,103.70112,334.64
12.3062,103.48584,336.51
12.3167,102.9443,348.03
12.32156,103.51031,339.73
12.32465,103.47018,341.63
12.32611,103.46885,341.55
12.32851,104.70874,336.85
12.32909,104.07426,340.72
12.32915,104.71268,343.2
12.3342,103.4595,335.5
12.34239,102.95824,336.43
12.34709,102.98664,337.04
12.34923,102.95496,334.96
12.34997,102.957,340.29
12.35117,103.44778,338.37
12.35147,104.92715,337.74
12.3533,104.92668,340.62
12.3557,103.65371,340.15
12.35612,103.65282,343.83
12.35623,103.97137,344.92
12.35691,103.97555,341.08
12.36908,104.84912,338.03
12.37619,104.91502,335.31
12.38136,103.40154,337.6
12.38631,104.99964,334.77
12.3895,103.40482,336.56
12.39316,103.18896,332.82
12.39616,103.99032,340.35
12.39908,104.90334,333
12.4018,103.12666,343.38
12.40253,104.90278,346.67
12.40784,103.13956,345.45
12.41282,98.13833,367
12.44068,104.98672,330.46
12.44412,104.98616,351.72
12.44825,103.12803,334.59
12.45125,103.12293,341.7
12.45386,102.82047,341.12
12.45766,102.81979,337.82
12.45785,104.85818,345.38
12.45907,104.9915,336.94
12.45987,102.74072,343.01
12.46175,103.1166,332.38
12.46247,103.12092,337.98
12.46251,104.99094,338.74
12.4767,104.84321,348.01
12.48591,103.28535,331.83
12.49835,103.15186,333.54
12.49906,103.15306,332.03
12.51656,103.05178,336.63
12.52673,104.89011,337.87
12.53068,104.04048,335.07
12.53244,104.03738,337.04
12.53592,104.76991,334.59
12.54147,104.77293,339.05
12.54346,104.77264,341.8
12.54496,104.87132,336.71
12.55079,102.82006,346.87
12.55214,102.82269,338.58
12.55279,104.79883,343.63
12.55625,104.79825,334.95
12.55693,103.20039,333.56
12.55931,104.06674,335.08
12.56304,104.22152,337.02
12.56327,104.22023,335.57
12.57548,104.67559,331.02
12.57581,104.65551,332.06
12.58974,103.21361,345.52
12.59012,103.16953,340.15
12.61461,102.80396,339.68
12.61923,102.69095,332.79
12.63451,102.6552,337.33
12.63506,102.66763,337
12.63693,102.66924,336.98
12.63719,104.81642,340.59
12.63853,104.10397,332.23
12.63904,103.26936,336.72
12.6435,103.27319,341.74
12.64796,103.27701,346.26
12.64872,103.28149,335.91
12.66847,99.03492,333.25
12.71422,101.29031,331
12.71488,101.29419,336.42
12.7151,101.29025,334.33
12.7158,101.29412,335.52
12.72481,103.71285,330.39
12.72697,98.91553,340.8
12.73007,98.91801,331.92
12.73218,101.46922,332.87
12.75411,103.61975,333.58
12.75588,98.83988,356.18
12.76189,104.48837,334.02
12.77058,98.86436,341.92
12.7892,102.69473,340.91
12.80282,104.40825,336.71
12.80442,102.94448,345.06
12.81292,103.61503,335.73
12.81655,103.6144,335.73
12.81727,103.6187,350.13
12.82654,103.17324,339.94
12.88243,103.56055,339.74
12.88281,103.56316,348.5
12.88388,103.54699,339.6
12.88433,103.54957,340.43
12.88607,103.55994,331.17
12.88645,103.56253,340.91
12.90007,102.43164,334.98
